127.0.0.1 - - [28/Jan/2016:16:22:04 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:05 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:05 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:05 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:05 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:06 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:06 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:06 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:06 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:07 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:07 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:07 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:07 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:08 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:08 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:08 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:08 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:09 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:09 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:09 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:10 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:11 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
